,nu_1,nu_2,nu_3,nu_4,nu_5,nu_6,nu_7,nu_8,nu_9,nu_10,nu_11,nu_12,nu_13,nu_14,nu_15,nu_16,nu_17,nu_18,nu_19,nu_20
34251,3.2750781521433654e-94,1.992830546096855e-42,2.8727933951839616e-30,4.1749387750249403e-14,9.992540752335524e-09,1.3900848723742336e-06,1.870988207196409e-05,0.0001486476294573337,0.0005780517783448313,0.0017072586389714035,0.003865741817157948,0.007840023921985587,0.014434843686285686,0.02473481200197319,0.040358859829491334,0.06343785884650727,0.09765208536595205,0.14866182834743127,0.23044947134974922,0.36619616608528605
19098,3.5287047702933193e-44,5.851631181177901e-20,2.400435822298148e-12,1.3417228225342965e-08,8.610522439882373e-07,8.564907457419312e-06,2.532444055278994e-05,8.362418127101316e-05,0.00022420461290763094,0.0005894839578214916,0.0013901701168151507,0.0030252008832173435,0.0060129152484930245,0.011075806855212813,0.018996314837875276,0.03144890108457134,0.052400386675711154,0.09507064969475611,0.22344435985227498,0.5562994225619354
14753,9.363519528314014e-59,3.466638507991702e-33,1.4457636092035776e-19,5.3453799307523054e-14,5.243910738531631e-11,1.0499270564876032e-08,2.570286834275042e-07,3.6019801149970963e-06,3.193860217054737e-05,0.00021341568931999686,0.0009328769876074794,0.002783845025129969,0.006289629042238509,0.012224962531746755,0.02230227638180529,0.0392286667658934,0.06914972124350771,0.11918073115391718,0.24763550170832674,0.48010942354833624
62887,1.0046844842674105e-48,2.0875680615798246e-24,8.568970414167199e-17,5.369479517484291e-13,1.0152480061564081e-10,5.528585949266558e-09,1.0828516529615944e-07,1.1028462436654017e-06,8.885589527601964e-06,5.585083691420542e-05,0.00026069294548756896,0.0009344001542631236,0.0028134819608340634,0.007350138463849408,0.01707088622942949,0.035361257122862644,0.06987535298166048,0.1324299667093077,0.2493302390971368,0.4846036759960466
40076,1.299144690608358e-42,5.312380002568501e-23,4.9318340639521105e-14,1.2705685302259504e-10,1.5353100402444665e-09,4.403617359967752e-08,1.7271022271450967e-07,5.375020521213696e-07,1.3180250677990971e-06,3.0946483992255555e-06,7.184493887842166e-06,1.755307952055417e-05,4.499970170888935e-05,0.0001125295254430537,0.0002926717871214832,0.0007246362268579645,0.003213679477084491,0.010188046232785974,0.21325157701095981,0.7722427825982858
35230,8.225478640510959e-80,1.870968813043299e-41,2.565303358968806e-25,6.906090490116786e-19,1.6839025137457717e-15,8.444432211007891e-13,4.9658543650663125e-11,1.2793487620454886e-09,1.485207390395507e-08,1.2389060613490115e-07,7.732504628955012e-07,3.890519649464866e-06,1.6900376494929045e-05,6.563316421126476e-05,0.0002393980095269258,0.0008446418900906069,0.003146295078674256,0.012624420388475952,0.2561603706189107,0.726993840934354
13610,2.9952439334298503e-49,1.0439328146040347e-32,1.9791813723127176e-23,1.1736872246968347e-18,1.645503043580908e-15,2.337337820662272e-13,8.793718865607986e-12,1.5479119444533972e-10,1.8310962331406513e-09,1.828112315125334e-08,1.5505804007373432e-07,1.198677655098811e-06,8.47858251428704e-06,5.603284329475145e-05,0.00034800916227240963,0.0020000809663740186,0.010737962533928818,0.04422178645197401,0.19353249306092726,0.7491985498343668
607,3.173394122731899e-122,2.0016734775333307e-40,6.853247066729793e-19,4.401251234586737e-09,6.168015115037545e-05,0.0025581493203469703,0.009228291278785137,0.021666537060855372,0.030969873596793852,0.03715112082138074,0.04263414231444714,0.04851267364840461,0.054836904710032455,0.062481721149160535,0.07175772164775798,0.08309824329687755,0.09739630135229492,0.11581810984135762,0.14151728619090062,0.18041263500676402
30088,4.3809796505680913e-57,3.774074640876488e-11,3.2712853461907422e-09,4.9487628969436295e-06,0.0003393059162601731,0.013787384562015361,0.023402069396620772,0.03237950582154121,0.043925538561030666,0.04958907092483158,0.05332896193753019,0.056246811717708775,0.05992651398175073,0.06434478202860978,0.06989047947494341,0.07657896275826974,0.08484800831116213,0.09542364908939709,0.11103903107729025,0.16503155979495843
41039,1.2364187353665476e-55,4.8410804304790896e-17,2.1360769790889854e-10,1.0042381911448316e-06,0.0016580983457684891,0.004776994150618165,0.009145044935920457,0.016829783799051853,0.021449417309261046,0.024806706470533943,0.027595497557631504,0.03132419734933918,0.036113347578002344,0.04260639249393172,0.05115053774151674,0.06278816651627522,0.07939212245730506,0.10480419848477725,0.15863128682818653,0.32702174466956446
